us states,latitude,longitude,Abbreviation
Alaska,58.301598,-134.420212,AK
Alabama,32.377716,-86.300568,AL
Arkansas,35.2048883,-92.4479108,AR
Arizona,33.448143,-112.096962,AZ
California,36.7014631,-118.755997,CA
Colorado,39.739227,-104.984856,CO
Connecticut,41.764046,-72.682198,CT
Delaware,39.157307,-75.519722,DE
Florida,30.438118,-84.281296,FL
Georgia,33.749027,-84.388229,GA
Hawaii,21.307442,-157.857376,HI
Iowa,41.591087,-93.603729,IA
Idaho,43.617775,-116.199722,ID
Illinois,39.798363,-89.654961,IL
Indiana,39.768623,-86.162643,IN
Kansas,39.048191,-95.677956,KS
Kentucky,37.5726028,-85.1551411,KY
Louisiana,30.8703881,-92.007126,LA
Maine,45.709097,-68.8590201,ME
Maryland,38.978764,-76.490936,MD
Massachusetts,42.3788774,-72.032366,MA
Michigan,42.733635,-84.555328,MI
Minnesota,44.955097,-93.102211,MN
Mississippi,32.303848,-90.182106,MS
Missouri,38.7604815,-92.5617875,MO
Montana,47.3752671,-109.638757,MT
Nebraska,40.808075,-96.699654,NE
Nevada,39.163914,-119.766121,NV
New Hampshire,43.206898,-71.537994,NH
New Jersey,40.220596,-74.769913,NJ
New Mexico,35.68224,-105.939728,NM
New York,42.652843,-73.757874,NY
North Carolina,35.78043,-78.639099,NC
North Dakota,46.82085,-100.783318,ND
Ohio,39.961346,-82.999069,OH
Oklahoma,35.492207,-97.503342,OK
Oregon,43.9792797,-120.737257,OR
Pennsylvania,40.264378,-76.883598,PA
Rhode Island,41.7962409,-71.5992372,RI
South Carolina,34.000343,-81.033211,SC
South Dakota,44.367031,-100.346405,SD
Tennessee,36.16581,-86.784241,TN
Texas,30.27467,-97.740349,TX
Utah,40.777477,-111.888237,UT
Vermont,44.262436,-72.580536,VT
Virginia,37.538857,-77.43364,VA
Washington,47.035805,-122.905014,WA
West Virginia,38.4758406,-80.8408415,WV
Wisconsin,43.074684,-89.384445,WI
Wyoming,43.1700264,-107.568534,WY
